trunkId, totalCost, maxCost, totalIterations, maxIter, totalSlope, maxSlope, totalBranches, maxBranches, sumOfTempCosts, maximalAvgK, count, maxCostIterationsCount, maxCostBranchesCount, maxBranchesIterationsCount
1837,11.45,281,16,5,0,0,26,8,2.76666666666667,1.14285714285714,4,4,4,5
508,35.3333333333333,692,62,12,232,75,82,23,25.85,1.33333333333333,8,11,23,11
370,27.3833333333333,462,67,16,239,108,70,16,18.3666666666667,1.33333333333333,8,13,11,3
1450,7.41666666666667,151,17,5,18,16,39,12,3.3,1,4,5,10,2
357,10.5333333333333,239,16,4,178,178,22,6,3.7,1.5,5,3,5,3
518,12.5833333333333,397,10,5,0,0,36,16,4.56666666666667,1.14285714285714,3,2,16,2
326,2.45,147,2,2,0,0,3,3,1.63333333333333,1,1,2,3,2
2482,41.95,724,67,26,151,63,86,18,21.15,1.16666666666667,10,26,6,7
1296,122.883333333333,2716,130,24,958,530,111,49,123.916666666667,1.35714285714286,7,20,49,20
108,8.48333333333333,131,17,6,26,26,41,14,5.63333333333333,1.28571428571429,5,6,14,6
418,5.63333333333333,256,13,8,4,4,20,11,5.7,1.4,2,5,11,5
2552,18,304,45,11,157,141,73,24,14.65,1.5,6,10,19,10
617,16.5333333333333,201,44,12,159,63,44,11,7.98333333333333,1.33333333333333,7,6,5,6
1806,5.25,249,12,10,27,27,7,4,4.38333333333333,1.33333333333333,2,10,4,10
124,34.65,710,59,11,334,82,52,9,18.7666666666667,1.33333333333333,10,9,9,9
2713,1.3,78,2,2,0,0,3,3,0.45,1,1,2,3,2
2520,12.8833333333333,170,17,4,3,3,53,14,3.65,1.5,6,2,9,3
1983,7.85,180,14,4,150,119,20,7,6.11666666666667,1.2,4,3,7,3
2132,31.9666666666667,1448,27,7,1414,1370,72,53,17.5666666666667,1.44444444444444,5,7,53,7
566,23.9166666666667,681,44,12,147,52,46,12,11.0166666666667,1.57142857142857,6,12,12,12
1849,30.4333333333333,526,53,14,132,56,52,19,20.8833333333333,1.33333333333333,7,8,19,8
744,24.0666666666667,492,27,7,99,99,26,5,12.5333333333333,1.25,6,2,5,5
1120,18.5833333333333,398,53,15,80,24,24,6,13.2166666666667,1.66666666666667,6,15,5,8
498,39.1666666666667,769,74,19,401,119,65,13,32.3333333333333,1.16666666666667,9,19,5,7
2481,12.6166666666667,193,43,11,69,40,43,9,6.16666666666667,1.33333333333333,6,9,9,9
1428,36.1,554,60,9,150,38,39,7,15.5166666666667,1,10,9,3,2
922,5.51666666666667,135,12,6,0,0,14,6,2.66666666666667,1.5,3,3,5,3
1647,17.1333333333333,267,38,10,91,35,23,4,9.41666666666667,1.33333333333333,7,2,3,3
915,13.0333333333333,399,17,6,44,44,39,25,3.71666666666667,1.19047619047619,3,6,25,6
143,62.9166666666667,1120,76,18,567,214,89,15,49.4166666666667,1.33333333333333,11,9,15,9
758,12.5833333333333,190,38,7,105,75,36,8,8.21666666666667,1.33333333333333,7,6,4,4
57,6.71666666666667,201,14,6,7,7,12,5,4.15,1.66666666666667,3,6,3,6
1529,16.2833333333333,695,14,5,218,162,27,18,10.8333333333333,1.2,4,5,18,5
2698,4766.91666666667,284548,30,28,11808,11808,71,62,5057.76666666667,1.13333333333333,2,28,62,28
2854,30.5666666666667,511,55,13,126,51,55,9,14.6666666666667,1.33333333333333,10,6,8,13
1504,4.15,249,4,4,21,21,12,12,0.9,1.11111111111111,1,4,12,4
2283,44.5166666666667,905,169,63,158,68,76,16,47.2166666666667,1.25,8,63,16,63
1126,5.23333333333333,157,24,10,13,11,21,8,1.51666666666667,1,3,5,8,5
2864,16.5833333333333,321,26,6,35,35,25,6,7.28333333333333,1.33333333333333,6,5,3,3
1672,10.5833333333333,296,14,5,36,36,25,9,1.15,1.25,4,2,9,2
2409,5.55,143,14,5,22,22,11,4,3.56666666666667,1,3,5,4,5
4653,24.1833333333333,744,23,10,161,101,24,6,9.8,1,4,10,6,4
2220,3321.65,181643,53,38,7030,5144,55,20,3254.2,1.25,5,38,20,38
2805,7.08333333333333,196,15,6,58,45,10,4,4.13333333333333,1.5,3,6,3,4
1210,55.3166666666667,1404,76,28,238,120,56,20,45.7166666666667,1.2,8,28,5,13
2893,1.96666666666667,118,6,6,4,4,5,5,1.3,1,1,6,5,6
1446,29.6,255,72,14,110,61,118,18,11.15,1.2,10,8,18,6
